Key,en,hi,ar,es
Dashboard,Dashboard,डैशबोर्ड,لوحة القيادة,Panel
Language,Language,भाषा,لغة,Idioma
Information,Information,जानकारी,معلومة,Información
Language Information,Language Information,भाषा संबंधी जानकारी,معلومات اللغة,Información de idioma
Language Manager,Language Manager,भाषा प्रबंधक,مدير اللغة,Administrador de idiomas
Language created successfully!,Language created successfully!,भाषा सफलतापूर्वक बनाई गई!,تم إنشاء اللغة بنجاح!,¡Idioma creado exitosamente!
Something went wrong! Please try again,Something went wrong! Please try again,कुछ गलत हो गया! कृपया पुन: प्रयास करें,هناك خطأ ما! حاول مرة اخرى,¡Algo salió mal! Inténtalo de nuevo
Verification code resend successfully!,Verification code resend successfully!,सत्यापन कोड सफलतापूर्वक पुनः भेजा गया!,تم إعادة إرسال رمز التحقق بنجاح!,¡El código de verificación se reenvía exitosamente!
token,token,टोकन,رمز مميز,simbólico
Code,Code,कोड,شفرة,Código
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,आपका खाता अस्थायी रूप से बंद कर दिया गया है. कृपया सिस्टम एडमिन से संपर्क करें,حسابك مؤقت. يرجى الاتصال بمسؤول النظام,Su cuenta está bloqueada temporalmente. Por favor contacte con el administrador del sistema
Verification code sended to your email address,Verification code sended to your email address,सत्यापन कोड आपके ईमेल पते पर भेजा गया,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Código de verificación enviado a su dirección de correo electrónico
Session expired. Please try again,Session expired. Please try again,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें,انتهت الجلسة. حاول مرة اخرى,Sesión expirada. Inténtalo de nuevo
Verification Otp is Invalid,Verification Otp is Invalid,सत्यापन ओटीपी अमान्य है,التحقق من Otp غير صالح,La verificación OTP no es válida
OTP successfully verified!,OTP successfully verified!,ओटीपी सफलतापूर्वक सत्यापित!,تم التحقق من كلمة مرور OTP بنجاح!,¡OTP verificada exitosamente!
Request token is invalid,Request token is invalid,अनुरोध टोकन अमान्य है,رمز الطلب غير صالح,El token de solicitud no es válido
OTP resend success,OTP resend success,ओटीपी पुनः भेजने में सफलता,تم إعادة إرسال OTP بنجاح,Reenvío OTP exitoso
Password reset success,Password reset success,पासवर्ड रीसेट सफल,نجاح إعادة تعيين كلمة المرور,Restablecimiento de contraseña exitoso
User Successfully Logged In,User Successfully Logged In,उपयोगकर्ता सफलतापूर्वक लॉग इन हुआ,تم تسجيل دخول المستخدم بنجاح,El usuario inició sesión correctamente
Username,Username,उपयोगकर्ता नाम,اسم المستخدم,Nombre de usuario
User already exists!,User already exists!,उपयोगकर्ता पहले से मौजूद है!,المستخدم موجود اصلا!,¡El usuario ya existe!
Registration failed! Please try again,Registration failed! Please try again,पंजीकरण विफल रहा! कृपया पुन: प्रयास करें,فشل في التسجيل! حاول مرة اخرى,¡Registro fallido! Inténtalo de nuevo
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,उपयोगकर्ता जानकारी लाने में विफल. कृपया पुन: प्रयास करें,فشل في جلب معلومات المستخدم. حاول مرة اخرى,No se pudo recuperar la información del usuario. Inténtalo de nuevo
Failed to generate user token! Please try again,Failed to generate user token! Please try again,उपयोगकर्ता टोकन जनरेट करने में विफल! कृपया पुन: प्रयास करें,فشل في إنشاء الرمز المميز للمستخدم! حاول مرة اخرى,¡No se pudo generar el token de usuario! Inténtalo de nuevo
User successfully registered,User successfully registered,उपयोगकर्ता सफलतापूर्वक पंजीकृत हो गया,تم تسجيل المستخدم بنجاح,Usuario registrado exitosamente
User dashboard data fetch successfully!,User dashboard data fetch successfully!,उपयोगकर्ता डैशबोर्ड डेटा सफलतापूर्वक प्राप्त हुआ!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!,¡Los datos del panel de usuario se recuperaron correctamente!
Logout success!,Logout success!,लॉगआउट सफलता!,نجاح تسجيل الخروج!,¡Cerrar sesión exitosamente!
User Profile data fetch successfully!,User Profile data fetch successfully!,उपयोगकर्ता प्रोफ़ाइल डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات ملف تعريف المستخدم بنجاح!,¡Los datos del perfil de usuario se obtuvieron correctamente!
error,error,गलती,خطأ,error
 Profile data updated successfully!, Profile data updated successfully!, प्रोफ़ाइल डेटा सफलतापूर्वक अपडेट किया गया!, تم تحديث بيانات الملف الشخصي بنجاح!, ¡Datos de perfil actualizados exitosamente!
 Password changed successfully!, Password changed successfully!, पासवर्ड सफलतापूर्वक बदला गया!, تم تغيير الرقم السري بنجاح!, ¡Contraseña cambiada con éxito!
Name,Name,नाम,اسم,Nombre
Active,Active,सक्रिय,نشيط,Activo
Setup Section,Setup Section,सेटअप अनुभाग,قسم الإعداد,Sección de configuración
Tags,Tags,टैग,العلامات,Etiquetas
Submit,Submit,जमा करना,يُقدِّم,Entregar
Update,Update,अद्यतन,تحديث,Actualizar
options,options,विकल्प,خيارات,opciones
FIAT,FIAT,व्यवस्थापत्र,فيات,FÍAT
CRYPTO,CRYPTO,क्रिप्टो,تشفير,CRIPTO
Extensions,Extensions,एक्सटेंशन,ملحقات,Extensiones
User Care,User Care,उपयोगकर्ता देखभाल,رعاية المستخدم,Atención al usuario
Title,Title,शीर्षक,عنوان,Título
Payment Required,Payment Required,भुगतान की आवश्यकता है,الدفع مطلوب,pago requerido
Message,Message,संदेश,رسالة,Mensaje
Too Many Requests,Too Many Requests,बहुत सारे अनुरोध,طلبات كثيرة جدا,Demasiadas solicitudes
Service Unavailable,Service Unavailable,सेवा अनुपलब्ध है,الخدمة غير متوفرة,Servicio No Disponible
Useful Links,Useful Links,उपयोगी कड़ियां,روابط مفيدة,Enlaces útiles
Login Now,Login Now,अभी लॉगिन करें,تسجيل الدخول الآن,Inicia sesión ahora
Please Enter the Code,Please Enter the Code,कृपया कोड दर्ज करें,الرجاء إدخال الرمز,Por favor ingrese el código
label,label,लेबल,ملصق,etiqueta
Optional,Optional,वैकल्पिक,خياري,Opcional
next,next,अगला,التالي,próximo
navigation,navigation,मार्गदर्शन,ملاحة,navegación
Showing,Showing,दिखा,عرض,Demostración
to,to,को,ل,a
of,of,का,ل,de
results,results,परिणाम,نتائج,resultados
prev,prev,पिछला,السابق,anterior
Access Denied! Unauthenticated,Access Denied! Unauthenticated,पहुंच अस्वीकृत! अपुष्ट,تم الرفض! غير مصادق عليه,¡Acceso denegado! No autenticado
"Invalid OTP, Please try again","Invalid OTP, Please try again","अमान्य ओटीपी, कृपया पुनः प्रयास करें",كلمة المرور لمرة واحدة (OTP) غير صالحة، يرجى المحاولة مرة أخرى,"OTP no válida, inténtelo de nuevo"
Account Successfully verified,Account Successfully verified,खाता सफलतापूर्वक सत्यापित,تم التحقق من الحساب بنجاح,Cuenta verificada exitosamente
Password ,Password ,पासवर्ड,كلمة المرور,Contraseña
Reset,Reset,रीसेट,إعادة ضبط,Reiniciar
Enter your account email address or username,Enter your account email address or username,अपना खाता ईमेल पता या उपयोगकर्ता नाम दर्ज करें,أدخل عنوان البريد الإلكتروني الخاص بحسابك أو اسم المستخدم,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta
Username OR Email Address,Username OR Email Address,उपयोगकर्ता का नाम या ईमेल पता,اسم المستخدم أو البريد الالكتروني,Nombre de usuario o dirección de correo electrónico
Send,Send,भेजना,يرسل,Enviar
Reset ,Reset ,रीसेट,إعادة ضبط,Reiniciar
New Password,New Password,नया पासवर्ड,كلمة المرور الجديدة,Nueva contraseña
Confirm Password,Confirm Password,पासवर्ड की पुष्टि कीजिये,تأكيد كلمة المرور,confirmar Contraseña
Reset Password,Reset Password,पासवर्ड रीसेट,إعادة تعيين كلمة المرور,Restablecer la contraseña
Welcome To,Welcome To,आपका स्वागत है,مرحبا بك في,Bienvenido a
